candidate_id,candidate_name,age,gender,party_id,constituency_id,education_level,profession,declared_assets_npr,criminal_case_status,campaign_budget_npr,previous_election_experience
1,Gyan Bista,53,Male,1,1,Bachelor,Doctor,9116000,None,9610000,True
2,Padam Koirala,36,Male,10,1,Bachelor,Journalist,3276000,None,360000,False
3,Hira Rai,41,Female,2,1,Bachelor,Farmer,904000,None,9870000,False
4,Narayan Karki,58,Male,4,1,Bachelor,Doctor,21155000,None,3810000,False
5,Bimal Devkota,56,Male,5,2,+2,Doctor,3378000,None,2520000,False
6,Parbati Bam,36,Female,1,2,+2,Doctor,3534000,None,10910000,True
7,Prakash Panta,54,Male,2,2,Master,Trader,9443000,None,11340000,False
8,Puspa Regmi,32,Male,3,2,+2,Farmer,36428000,None,10460000,False
9,Sushil Giri,32,Male,1,3,Master,Retired Govt Officer,697000,None,10720000,False
10,Dilip Bhandari,47,Male,2,3,Master,Academician,1751000,None,19220000,False
11,Bal Oli,35,Male,4,3,Bachelor,Farmer,4970000,None,10010000,False
12,Roshan Parajuli,35,Male,14,3,Master,Retired Govt Officer,38164000,None,780000,False
13,Maya Mahato,42,Female,8,3,Bachelor,Social Worker,4590000,None,430000,True
14,Sumitra Roka,35,Female,2,4,PhD,Businessman,1756000,None,7150000,False
15,Bhuwan Bhusal,47,Male,5,4,Master,Farmer,974000,None,3370000,True
16,Rudra Thapa,51,Male,1,4,Bachelor,Farmer,10552000,None,9130000,True
17,Ramesh Niraula,41,Male,1,5,Master,Retired Govt Officer,8361000,Pending Case,17220000,False
18,Shyam Yadav,52,Male,14,5,+2,Doctor,4125000,None,840000,True
19,Prakash Chand,38,Male,,5,Master,Journalist,5746000,None,850000,True
20,Roshan Chhetri,40,Male,3,6,Bachelor,Politician,9329000,None,8880000,True
21,Sunita Giri,45,Female,4,6,Master,Contractor,5849000,None,5890000,True
22,Sita Limbu,54,Female,2,6,PhD,Farmer,15827000,None,15980000,True
23,Chandrika Hamal,60,Female,3,7,Bachelor,Doctor,859000,None,7620000,False
24,Ram Tamang,60,Male,1,7,Bachelor,Engineer,10159000,None,10970000,True
25,Pawan Mandal,45,Male,2,7,No Formal Education,Politician,30699000,None,19010000,False
26,Ram Sapkota,52,Male,24,7,Bachelor,Retired Govt Officer,3226000,None,540000,True
27,Bed Prasad Airee,58,Male,7,7,Bachelor,Engineer,570000,None,410000,False
28,Tulasa Neupane,54,Female,2,8,+2,Retired Govt Officer,14847000,None,16080000,True
29,Gopal Pradhan,25,Male,7,8,PhD,Businessman,879000,Pending Case,570000,True
30,Bhuwan Parajuli,27,Male,4,8,SLC,Engineer,5736000,None,5490000,False
31,Sunita Tiwari,57,Female,,8,SLC,Retired Govt Officer,670000,None,1230000,True
32,Meena Bhusal,29,Female,1,9,Bachelor,Contractor,5427000,None,8560000,True
33,Bimal Lamichhane,46,Male,3,9,PhD,Farmer,8460000,None,10440000,True
34,Dipak Pandey,39,Male,2,9,+2,Contractor,2860000,None,16840000,False
35,Sunita Aryal,41,Female,15,9,Master,Journalist,6061000,None,490000,False
36,Kalpana Bam,53,Female,1,10,Bachelor,Teacher,1368000,None,9100000,True
37,Roshan Upadhyay,52,Male,3,10,PhD,Academician,581000,None,10520000,True
38,Hari Pandey,49,Male,,10,+2,Activist,4798000,None,240000,False
39,Sanjay Roka,45,Male,1,11,Bachelor,Farmer,1608000,None,14690000,False
40,Ashok Koirala,54,Male,2,11,Master,Journalist,6340000,None,12450000,True
41,Puspa Bista,42,Male,4,11,+2,Retired Govt Officer,1569000,None,10220000,True
42,Ganesh Bohora,43,Male,4,12,Master,Engineer,13138000,Pending Case,5520000,False
43,Devi Sinjali,44,Female,2,12,Bachelor,Lawyer,16226000,None,15800000,True
44,Gita Devkota,53,Female,1,12,Bachelor,Academician,2666000,None,16670000,False
45,Lok Dhakal,45,Male,,12,Bachelor,Politician,3772000,None,740000,True
46,Pramod Panta,50,Male,3,13,Bachelor,Engineer,1824000,None,11180000,True
47,Lekh Dahal,50,Male,4,13,Master,Journalist,3103000,Pending Case,6750000,False
48,Ek Raj Dhakal,44,Male,1,13,Master,Lawyer,1425000,None,13970000,True
49,Radhika Mahato,46,Female,6,13,Master,Businessman,1305000,Pending Case,330000,True
50,Meena Joshi,48,Female,24,13,Bachelor,Journalist,2687000,None,480000,False
51,Dilip Basnet,50,Male,3,14,Bachelor,Engineer,16015000,None,4610000,True
52,Naresh Magar,25,Male,4,14,Master,Academician,5365000,None,8520000,False
53,Sangita Subba,46,Female,2,14,Bachelor,Contractor,2779000,None,17970000,True
54,Badri Regmi,36,Male,14,14,No Formal Education,Politician,3112000,Pending Case,380000,False
55,Roshan Chhetri,49,Male,1,14,Master,Social Worker,17352000,Pending Case,8460000,True
56,Kamal Awasthi,31,Male,2,15,Master,Journalist,14820000,None,14310000,True
57,Bimal Magar,37,Male,17,15,Bachelor,Teacher,38713000,None,560000,False
58,Roshan Aryal,58,Male,4,15,Bachelor,Engineer,19081000,None,6870000,True
59,Arjun Yadav,48,Male,1,15,+2,Retired Govt Officer,7527000,None,19250000,True
60,Jamuna Tamang,28,Female,24,15,Bachelor,Doctor,2574000,None,390000,True
61,Gyan Kandel,50,Male,2,16,SLC,Teacher,54231000,None,18810000,False
62,Gyan Acharya,43,Male,1,16,+2,Activist,1092000,None,17820000,True
63,Bimala Tharu,57,Female,8,16,No Formal Education,Social Worker,13510000,None,460000,True
64,Pradeep Mahato,46,Male,4,16,Master,Farmer,15168000,Pending Case,4540000,False
65,Narayan Giri,49,Male,1,17,Master,Engineer,10586000,None,15660000,True
66,Renu Bam,40,Female,4,17,Master,Politician,13384000,None,6250000,True
67,Bhuwan Rana,34,Male,3,17,PhD,Social Worker,23800000,None,11510000,False
68,Shova Chand,44,Female,11,17,Bachelor,Farmer,1142000,None,510000,False
69,Bhim Gurung,49,Male,3,18,Master,Businessman,6245000,None,10510000,False
70,Bina Chaudhary,44,Female,12,18,Master,Journalist,797000,None,710000,True
71,Top Bahadur Yadav,47,Male,2,18,Master,Academician,3609000,None,15050000,False
72,Govinda Chhetri,60,Male,14,18,Bachelor,Teacher,15129000,None,870000,True
73,Rudra Rokaya,44,Male,2,19,SLC,Academician,1036000,None,8640000,False
74,Binod Awasthi,40,Male,3,19,Bachelor,Social Worker,5758000,None,7090000,False
75,Pramod Bhusal,30,Male,17,19,PhD,Contractor,5747000,None,320000,True
76,Ram Giri,33,Male,13,19,+2,Businessman,2380000,None,580000,True
77,Kalpana Poudel,40,Female,1,20,PhD,Politician,11017000,Pending Case,9780000,True
78,Roop Devkota,51,Male,2,20,+2,Teacher,620000,None,8580000,False
79,Gopal Oli,55,Male,4,20,Master,Retired Govt Officer,18097000,None,9730000,True
80,Rajesh Lamichhane,42,Male,5,20,Master,Politician,18167000,None,2670000,True
81,Bhim Mandal,45,Male,1,21,Master,Politician,7558000,None,11190000,True
82,Ganesh Regmi,28,Male,2,21,Master,Activist,5107000,None,9230000,True
83,Dipak Joshi,49,Male,5,21,SLC,Lawyer,30639000,None,3320000,True
84,Govinda Oli,39,Male,4,21,No Formal Education,Engineer,8701000,None,3990000,True
85,Shankar Bam,53,Male,1,22,Bachelor,Doctor,1996000,None,19030000,True
86,Bhim Rijal,49,Male,11,22,PhD,Politician,893000,Pending Case,820000,False
87,Basanta Bista,62,Male,2,22,SLC,Doctor,3790000,None,16640000,True
