news_id,headline,candidate_id,news_source,sentiment,impact_score,publication_date
1,Kamal Awasthi embroiled in controversy over education,56,Nagarik News,Negative,1.13,2082-03-15
2,Ram Sapkota unveils comprehensive governance manifesto,26,Setopati,Positive,3.51,2082-03-24
3,Opposition calls for inquiry into Gopal Oli's healthcare dealings,79,Rising Nepal,Negative,9.85,2082-02-02
4,Opposition calls for inquiry into Kamal Awasthi's employment dealings,56,Annapurna Post,Negative,5.42,2082-02-01
5,Voters rally behind Bimal Magar for healthcare agenda,57,Nagarik News,Positive,4.92,2082-02-22
6,Prakash Shrestha files candidacy for Janakpur constituency,145,Rising Nepal,Neutral,7.55,2082-04-13
7,Renu Bogati leads polls in Bharatpur according to latest survey,194,Nagarik News,Positive,7.06,2082-02-19
8,Dilip Rokaya receives endorsement from corruption leaders,185,Deshsanchar,Positive,3.04,2082-04-08
9,Juna Poudel praised for inclusive economy policies,89,Nagarik News,Positive,5.41,2082-02-24
10,Jamuna Khanal declares assets worth NPR 15.4 crore,203,Image Channel,Neutral,6.94,2082-04-09
11,Tek Tiwari's rally draws massive crowd in Nepalgunj,154,Annapurna Post,Positive,1.83,2082-02-11
12,Chandrika Upadhyay promises to transform education in 100 days,107,Annapurna Post,Positive,1.99,2082-02-06
13,Sabina Magar campaigns in rural Dharan districts,140,NTV Plus,Neutral,9.18,2082-04-05
14,Prakash Shrestha campaigns in rural Hetauda districts,145,Nepal TV,Neutral,1.16,2082-04-10
15,Critics question Yasoda Oli's stance on governance,197,The Himalayan Times,Negative,9.48,2082-02-09
16,Shila Airee praised for inclusive agriculture policies,130,Ratopati,Positive,7.34,2082-04-02
17,Jeevan Sah holds press conference on agriculture agenda,115,Nepal TV,Neutral,5.5,2082-03-27
18,Bhuwan Parajuli leads polls in Dharan according to latest survey,30,Online Khabar,Positive,5.26,2082-02-24
19,Ganga Chaudhary campaigns in rural Nepalgunj districts,195,Ratopati,Neutral,7.91,2082-03-21
20,Rekha Joshi holds press conference on economy agenda,211,Annapurna Post,Neutral,4.34,2082-02-03
21,Pradeep Chand campaigns in rural Dharan districts,160,My Republica,Neutral,9.51,2082-03-10
22,Bikash Magar accused of vote-buying in Dharan,210,Online Khabar,Negative,9.74,2082-02-11
23,Om Parajuli campaigns in rural Pokhara districts,127,Annapurna Post,Neutral,9.69,2082-02-20
24,Jamuna Khanal's campaign finances under scrutiny,203,Ratopati,Negative,1.35,2082-02-12
25,Badri Regmi holds press conference on agriculture agenda,54,My Republica,Neutral,1.97,2082-04-08
26,Voters rally behind Kiran Pandey for healthcare agenda,111,Kantipur Daily,Positive,7.54,2082-04-10
27,Rajan Adhikari embroiled in controversy over employment,153,My Republica,Negative,6.65,2082-02-26
28,Dilip Basnet's campaign finances under scrutiny,51,Ratopati,Negative,3.07,2082-02-20
29,Bhuwan Bhusal declares assets worth NPR 8.8 crore,15,The Himalayan Times,Neutral,2.91,2082-04-08
30,Election Commission verifies Hira Rai's credentials,3,Nagarik News,Neutral,3.23,2082-02-20
31,Puspa Thapa files candidacy for Kathmandu constituency,137,Rising Nepal,Neutral,2.0,2082-04-03
32,Kiran Airee declares assets worth NPR 5.7 crore,136,Online Khabar,Neutral,3.94,2082-04-08
33,Hari Pandey holds press conference on agriculture agenda,38,Deshsanchar,Neutral,8.88,2082-02-12
34,Lekh Dahal promises to transform economy in 100 days,47,Rising Nepal,Positive,8.24,2082-04-09
35,Bimal Magar faces allegations of financial misconduct,57,Setopati,Negative,7.58,2082-02-02
36,Bhim Mandal declares assets worth NPR 5.0 crore,81,Online Khabar,Neutral,4.39,2082-03-26
37,Jeevan Airee promises to transform infrastructure in 100 days,169,My Republica,Positive,8.82,2082-03-16
38,Mana Parajuli praised for inclusive employment policies,118,Deshsanchar,Positive,4.61,2082-03-01
39,Ganesh Regmi promises to transform employment in 100 days,82,Kantipur Daily,Positive,9.28,2082-03-08
40,Laxmi Sapkota embroiled in controversy over governance,200,Image Channel,Negative,6.76,2082-02-13
41,Election Commission verifies Meena Bhusal's credentials,32,Online Khabar,Neutral,2.49,2082-03-18
42,Sunita Tiwari's rally draws massive crowd in Butwal,31,Deshsanchar,Positive,3.22,2082-02-19
43,Man Bhusal files candidacy for Butwal constituency,90,My Republica,Neutral,6.78,2082-04-08
44,Shova Chand's campaign finances under scrutiny,68,Image Channel,Negative,5.28,2082-03-12
45,Bimal Devkota's campaign finances under scrutiny,5,Image Channel,Negative,9.15,2082-04-01
46,Suman Devkota's rally draws massive crowd in Pokhara,93,Kantipur Daily,Positive,3.53,2082-02-11
47,Voters rally behind Lekh Sapkota for employment agenda,114,Avenues TV,Positive,1.61,2082-03-12
48,Critics question Dil Mahato's stance on agriculture,181,Nagarik News,Negative,5.05,2082-04-04
49,Man Mahato leads polls in Biratnagar according to latest survey,97,Online Khabar,Positive,4.05,2082-02-12
50,Ranjana Tamang embroiled in controversy over education,213,Deshsanchar,Negative,8.37,2082-02-28
51,Voters rally behind Jamuna Khanal for employment agenda,203,Rising Nepal,Positive,7.49,2082-04-04
52,Dipak Pandey declares assets worth NPR 1.3 crore,34,Nepal TV,Neutral,2.7,2082-03-22
53,Sanjay Roka holds press conference on corruption agenda,39,My Republica,Neutral,6.09,2082-02-07
54,Maya Mahato's rally draws massive crowd in Dharan,13,Ratopati,Positive,9.48,2082-02-20
55,Pramod Bhusal praised for inclusive education policies,75,NTV Plus,Positive,6.7,2082-02-01
56,Padam Chaudhary's campaign finances under scrutiny,121,Kantipur Daily,Negative,1.39,2082-03-24
57,Durga Limbu promises to transform infrastructure in 100 days,149,Nagarik News,Positive,2.5,2082-03-14
58,Dipak Joshi participates in all-party debate on employment,83,Image Channel,Neutral,3.18,2082-03-13
59,Voters rally behind Pradeep Chand for education agenda,160,Deshsanchar,Positive,7.05,2082-03-08
60,Shankar Sharma receives endorsement from economy leaders,143,Gorkhapatra,Positive,3.1,2082-03-09
61,Election Commission verifies Bimal Magar's credentials,57,Online Khabar,Neutral,8.23,2082-02-07
62,Kalpana Poudel declares assets worth NPR 76.0 crore,77,Nepal TV,Neutral,4.11,2082-03-17
63,Bimala Chhetri's rally draws massive crowd in Hetauda,133,Nagarik News,Positive,4.25,2082-02-10
64,Shova Chand campaigns in rural Janakpur districts,68,NTV Plus,Neutral,4.01,2082-03-06
65,Pramod Bhusal praised for inclusive healthcare policies,75,Nagarik News,Positive,4.6,2082-04-03
66,Rashmi Pandey declares assets worth NPR 10.9 crore,139,Annapurna Post,Neutral,6.01,2082-04-02
67,Shanta Bhusal leads polls in Nepalgunj according to latest survey,124,Avenues TV,Positive,6.98,2082-04-03
68,Ek Dhakal promises to transform corruption in 100 days,48,Gorkhapatra,Positive,1.02,2082-04-12
69,Sumitra Magar's rally draws massive crowd in Butwal,150,Rising Nepal,Positive,8.21,2082-03-12
70,Pramod Yadav files candidacy for Butwal constituency,99,Rising Nepal,Neutral,1.26,2082-02-25
